LOC_ID,CLUSTER,P_VALUE,RECURR_INT,CLU_OBS,CLU_EXP,CLU_ODE,CLU_RR,CLU_POP,LOC_OBS,LOC_EXP,LOC_ODE,LOC_RR,LOC_POP,LOC_LAT,LOC_LONG,GINI_CLUST
94922,28,0.00071978519018601,9725,1,15.7549232506,0.0634722229,0.0634719717,3319,0,5.1029052409,0,0,1075,38.3418723336,-122.9495177494,FALSE
95465,28,0.00071978519018601,9725,1,15.7549232506,0.0634722229,0.0634719717,3319,1,10.6520180097,0.093878925,0.093878682,2244,38.4064114896,-123.0194810895,FALSE
96086,29,0.0016331025595745,4286,1,14.8387737515,0.0673910134,0.0673907632,1379.92,0,2.6392700595,0,0,181.39,41.8745472071,-123.2203359532,FALSE
96049,29,0.0016331025595745,4286,1,14.8387737515,0.0673910134,0.0673907632,1379.92,0,0,0,0,0,41.7684055813,-123.3259096237,FALSE
96085,29,0.0016331025595745,4286,1,14.8387737515,0.0673910134,0.0673907632,1379.92,0,0,0,0,0,41.752266592,-123.0527267481,FALSE
96050,29,0.0016331025595745,4286,1,14.8387737515,0.0673910134,0.0673907632,1379.92,0,3.6171291103,0,0,294.53,41.8999049143,-122.8868881671,FALSE
96039,29,0.0016331025595745,4286,1,14.8387737515,0.0673910134,0.0673907632,1379.92,1,8.5823745818,0.1165178693,0.1165176324,904,41.693043875,-123.4888708716,FALSE
93633,30,0.00176242373703273,3972,1,14.7533297568,0.0677813088,0.0677810588,3221.29,0,0,0,0,0,36.7930546644,-118.722697206,FALSE
93628,30,0.00176242373703273,3972,1,14.7533297568,0.0677813088,0.0677810588,3221.29,0,0,0,0,24.72,36.7920280904,-118.925178401,FALSE
93262,30,0.00176242373703273,3972,1,14.7533297568,0.0677813088,0.0677810588,3221.29,0,0,0,0,0,36.6006970698,-118.7110467636,FALSE
93603,30,0.00176242373703273,3972,1,14.7533297568,0.0677813088,0.0677810588,3221.29,0,0,0,0,0,36.620480047,-118.9587097861,FALSE
93641,30,0.00176242373703273,3972,1,14.7533297568,0.0677813088,0.0677810588,3221.29,0,0,0,0,88.57,36.6990221546,-119.0319102114,FALSE
93271,30,0.00176242373703273,3972,1,14.7533297568,0.0677813088,0.0677810588,3221.29,1,11.7675368298,0.0849795513,0.0849793059,2479,36.4592009012,-118.7779302284,FALSE
