"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1361","06033000702",0.9674,0.9153,0.3913,0.65,0.8847,2020,"CA"
"1362","06033000703",0.5771,0.791,0.1295,0.9267,0.7187,2020,"CA"
"1363","06033000704",0.7515,0.9802,0.1305,0.3119,0.6868,2020,"CA"
"1364","06033000801",0.7876,0.9597,0.2036,0.8248,0.8481,2020,"CA"
"1365","06033000802",0.86,0.8113,0.253,0.9509,0.8891,2020,"CA"
"1366","06033000901",0.4234,0.3236,0.2504,0.5685,0.418,2020,"CA"
"1367","06033000902",0.5393,0.5916,0.07,0.3083,0.4295,2020,"CA"
"1368","06033001000",0.8133,0.9566,0.2739,0.6867,0.8207,2020,"CA"
"1369","06033001101",0.4554,0.254,0.002,0.5157,0.3672,2020,"CA"
"1370","06033001102",0.3569,0.3123,7e-04,0.1483,0.1974,2020,"CA"
"1371","06033001200",0.592,0.7925,0.1682,0.3524,0.5373,2020,"CA"
"1372","06033001301",0.1866,0.3104,0.0076,0.1521,0.1267,2020,"CA"
"1373","06033001302",0.7287,0.8156,0.0602,0.6996,0.7019,2020,"CA"
"1374","06035040100",0.2183,0.4123,0.0152,0.5253,0.2991,2020,"CA"
"1375","06035040200",0.4699,0.6785,0.0073,0.6447,0.5156,2020,"CA"
"1376","06035040302",0.2114,0.7955,0.0134,0.5022,0.3803,2020,"CA"
"1377","06035040303",0.6059,0.8006,0.1043,0.9444,0.746,2020,"CA"
"1378","06035040304",0.6754,0.8543,0.0835,0.8088,0.7254,2020,"CA"
"1379","06035040305",0.2019,0.8053,0.1782,0.2854,0.3262,2020,"CA"
"1380","06035040400",0.3539,0.0684,0.5222,0.4272,0.2794,2020,"CA"
"1381","06035040500",0.4529,0.7065,0.0577,0.3242,0.4184,2020,"CA"
"1382","06035040600",0.6129,0.2335,0.1782,0.5384,0.47,2020,"CA"
"1383","06037101110",0.6108,0.6024,0.2412,0.8612,0.6772,2020,"CA"
"1384","06037101122",0.4341,0.4531,0.0786,0.0631,0.22,2020,"CA"
"1385","06037101220",0.8421,0.8633,0.4242,0.415,0.7344,2020,"CA"
"1386","06037101221",0.8559,0.8436,0.3186,0.9065,0.8795,2020,"CA"
"1387","06037101222",0.958,0.951,0.313,0.8577,0.9402,2020,"CA"
"1388","06037101300",0.3459,0.6275,0.0523,0.3209,0.3464,2020,"CA"
"1389","06037101400",0.4827,0.8763,0.1501,0.7316,0.6265,2020,"CA"
"1390","06037102103",0.5511,0.4935,0.0955,0.2256,0.3871,2020,"CA"
"1391","06037102104",0.4899,0.5667,0.1574,0.6946,0.5371,2020,"CA"
"1392","06037102105",0.5902,0.0542,0.643,0.1268,0.2729,2020,"CA"
"1393","06037102107",0.6373,0.6523,0.2333,0.2727,0.5035,2020,"CA"
